date,bit/s
2019-12-06 15:10:07.163229,915941976.5802342
2019-12-06 15:10:08.163243,916715406.992151
2019-12-06 15:10:09.163265,917903575.4463682
2019-12-06 15:10:10.163286,914202952.5793319
2019-12-06 15:10:11.163293,919884392.115608
2019-12-06 15:10:12.163304,917042774.786126
2019-12-06 15:10:13.163317,917389599.662402
2019-12-06 15:10:14.163337,917030280.6669127
2019-12-06 15:10:15.163364,917499194.0161197
2019-12-06 15:10:16.163381,917281451.1854881
2019-12-06 15:10:17.163388,917023218.9767811
2019-12-06 15:10:18.163415,913890788.0750266
2019-12-06 15:10:19.163435,732850344.0
2019-12-06 15:10:20.163894,732403853.8619083
2019-12-06 15:10:21.163913,733448966.9592974
2019-12-06 15:10:22.164303,732625941.5162823
2019-12-06 15:10:23.164317,623435555.3866677
2019-12-06 15:10:24.164332,611399240.2053185
2019-12-06 15:10:25.164343,611586585.6536574
2019-12-06 15:10:26.164395,611388034.9264632
2019-12-06 15:10:27.164537,611370377.8508794
2019-12-06 15:10:28.165690,586290563.595247
2019-12-06 15:10:29.166513,454187813.683103
2019-12-06 15:10:30.167351,458351468.49876803
2019-12-06 15:10:31.167799,458526024.1274563
2019-12-06 15:10:32.168514,458122502.9829299
2019-12-06 15:10:33.168651,458953613.9374161
2019-12-06 15:10:34.169383,458398186.8981809
2019-12-06 15:10:35.169730,458575987.07623893
2019-12-06 15:10:36.170023,458603952.74461716
2019-12-06 15:10:37.170508,458512733.06639105
2019-12-06 15:10:38.170536,458977520.17983854
2019-12-06 15:10:39.170578,458458771.15440774
2019-12-06 15:10:40.171115,458487527.99791306
2019-12-06 15:10:41.171568,458524190.8318432
2019-12-06 15:10:42.172043,458514566.2703831
2019-12-06 15:10:43.172531,458509983.2878881
2019-12-06 15:10:44.173203,458427047.13821876
